project_id,location_name,recording_date,task_id,tag_id,ar_action,audit_date,audit_comment,source_code,target_code,created_by,deleted_by,ar_unique_name,ar_new_unique_name,audit_vocalizationd,current_tag_vocalization,audit_abundance,current_species_abundance
286,SKBMS:06-048:06,2017-06-13 05:31:00,86350,,DELETE,2021-02-16 03:49:08.061,"",YRWA,YRWA,Laura Nicole Stewart,Avery Bartels,2,,,,,
286,SKBMS:06-048:06,2017-06-13 05:31:00,86350,,DELETE,2021-02-16 03:49:38.365,"",HETH,HETH,Laura Nicole Stewart,Avery Bartels,2,,,,,
286,SKBMS:06-048:06,2017-06-13 05:31:00,86350,,DELETE,2021-02-16 03:50:20.583,"",ALFL,ALFL,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-048:06,2017-06-13 05:31:00,86350,,DELETE,2021-02-16 03:53:54.746,"",HETH,HETH,Laura Nicole Stewart,Avery Bartels,0,,,,,
286,SKBMS:06-048:06,2017-06-13 05:31:00,86350,,DELETE,2021-02-16 03:58:22.745,"",RCKI,RCKI,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-048:06,2017-06-13 05:31:00,86350,,DELETE,2021-02-16 03:59:06.538,"",OCWA,OCWA,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:05:33.562,"",WIWR,WIWR,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:05:40.871,"",RCKI,RCKI,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:05:54.686,"",COYE,COYE,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:07:17.869,"",TRES,TRES,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:08:34.497,"",SOSP,SOSP,Laura Nicole Stewart,Avery Bartels,2,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:10:00.572,"",YEWA,YEWA,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:10:06.089,"",WTSP,WTSP,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:15:19.216,"",AMRO,AMRO,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:16:12.012,"",AMRO,AMRO,Laura Nicole Stewart,Avery Bartels,2,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:16:38.773,"",BRCR,BRCR,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:17:10.588,"",AMRE,AMRE,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:17:37.388,"",COLO,COLO,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:18:13.972,"",ALFL,ALFL,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:18:54.969,"",YEWA,YEWA,Laura Nicole Stewart,Avery Bartels,2,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:20:22.569,"",CSWA,CSWA,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:20:32.345,"",BHCO,BHCO,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:06-1002:05,2017-06-14 04:48:00,86466,,DELETE,2021-02-16 04:27:34.409,"",WIWR,WIWR,Laura Nicole Stewart,Avery Bartels,0,,,,,
286,SKBMS:05-188:06,2017-06-17 07:31:00,86305,,DELETE,2021-02-16 05:36:56.842,"",AMRO,AMRO,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:05-188:06,2017-06-17 07:31:00,86305,,DELETE,2021-02-16 05:37:01.393,"",CHSP,CHSP,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:05-188:06,2017-06-17 07:31:00,86305,,DELETE,2021-02-16 05:37:18.983,"",AMRO,AMRO,Laura Nicole Stewart,Avery Bartels,2,,,,,
286,SKBMS:05-188:06,2017-06-17 07:31:00,86305,,DELETE,2021-02-16 05:38:06.984,"",SWTH,SWTH,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:05-188:06,2017-06-17 07:31:00,86305,,DELETE,2021-02-16 05:38:24.733,"",RCKI,RCKI,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:05-188:06,2017-06-17 07:31:00,86305,,DELETE,2021-02-16 05:40:52.121,"",TEWA,TEWA,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:05-188:06,2017-06-17 07:31:00,86305,,DELETE,2021-02-16 05:41:04.017,"",OSFL,OSFL,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:05-188:06,2017-06-17 07:31:00,86305,,DELETE,2021-02-16 05:41:17.59,"",GRAJ,GRAJ,Laura Nicole Stewart,Avery Bartels,1,,,,,
286,SKBMS:05-116:01,2017-06-20 05:00:00,86104,,DELETE,2021-02-16 05:46:17.422,"",REVI,REVI,Laura Nicole Stewart,Avery Bartels,2,,,,,
